caseid	ideol7b	presvote	retecon	white	female	age	educ1_7	income	partyid	bushiraq	exptrnout2
584.0	6.0	1	0.5	1.0	1	83.0	3.0	11.0	6.0	0.6666667	1
585.0	4.0	0	-0.5	0.0	1	36.0	3.0	19.0	1.0	0.0	1
586.0	3.0	0	-0.5	1.0	1	63.0	7.0	21.0	0.0	0.0	1
589.0	1.0	0	0.0	1.0	1	19.0	4.0	3.0	2.0	0.0	1
590.0	4.0	0	-0.5	0.0	0	34.0	7.0	23.0	0.0	0.0	1
597.0	6.0	0	0.0	1.0	1	44.0	4.0	8.0	1.0	0.0	1
599.0	4.0	1	-0.5	1.0	0	26.0	6.0	17.0	6.0	1.0	1
604.0	2.0	0	-0.5	1.0	1	83.0	7.0	16.0	0.0	0.0	1
605.0	4.0	1	0.0	1.0	1	56.0	3.0	22.0	4.0	1.0	1
607.0	6.0	0	-1.0	1.0	1	57.0	4.0	17.0	0.0	0.0	1
610.0	3.0	0	0.0	1.0	1	57.0	5.0	19.0	2.0	0.0	1
611.0	4.0	1	0.0	1.0	1	31.0	7.0	18.0	1.0	0.6666667	1
613.0	4.0	1	-0.5	1.0	1	38.0	5.0	23.0	2.0	0.0	1
614.0	4.0	1	0.5	1.0	1	27.0	6.0	18.0	2.0	0.0	1
616.0	4.0	0	0.0	1.0	1	56.0	7.0	22.0	0.0	0.0	1
617.0	4.0	1	-0.5	0.0	0	48.0	5.0	11.0	3.0	0.33333334	1
622.0	5.0	0	-0.5	1.0	0	63.0	3.0	18.0	1.0	0.6666667	1
623.0	2.0	0	-0.5	1.0	0	50.0	6.0	17.0	2.0	0.0	1
624.0	3.0	0	-1.0	0.0	1	33.0	7.0	21.0	1.0	0.0	1
631.0	5.0	1	0.5	1.0	0	70.0	4.0	12.0	4.0	0.6666667	1
632.0	4.0	0	-0.5	1.0	0	57.0	6.0	7.0	1.0	0.0	1
638.0	4.0	0	-1.0	1.0	0	27.0	4.0	14.0	2.0	0.0	1
